iter	MultiClass
0	1.000056909
1	0.9167663136
2	0.8254496324
3	0.7704813298
4	0.7148723421
5	0.6723758557
6	0.6256033117
7	0.5810336114
8	0.5343659962
9	0.4971890298
10	0.4695757233
11	0.4412729919
12	0.4174393067
13	0.3896700178
14	0.3704534654
15	0.346892197
16	0.3307134427
17	0.3107414195
18	0.2972447134
19	0.2864163132
20	0.2743654716
21	0.2633545361
22	0.2525570524
23	0.2416042768
24	0.2310089679
25	0.2219451786
26	0.2154109838
27	0.2074410755
28	0.2000955991
29	0.194717575
30	0.1869138945
31	0.1807453602
32	0.1747890213
33	0.1694579843
34	0.1636693741
35	0.1580833485
36	0.1530662468
37	0.1486697848
38	0.1441807757
39	0.1403246608
40	0.1358834584
41	0.1329653945
42	0.1295137032
43	0.1262751931
44	0.1231101894
45	0.1198381822
46	0.1172966786
47	0.1142245058
48	0.112109652
49	0.1093913128
50	0.1070506901
51	0.1045883651
52	0.1023329012
53	0.1001120961
54	0.09785752617
55	0.0960263873
56	0.09361245465
57	0.0916197829
58	0.08969375444
59	0.08784090566
60	0.08632686214
61	0.08382754451
62	0.0817641992
63	0.08037122243
64	0.07848732476
65	0.07698600799
66	0.0753721946
67	0.07391397729
68	0.07223027581
69	0.07079734886
70	0.06917675869
71	0.06748626023
72	0.06642285489
73	0.06526026521
74	0.06429382717
75	0.06307808793
76	0.06222229049
77	0.06121922663
78	0.06028633852
79	0.05949591974
80	0.0587263735
81	0.05779947777
82	0.05696549875
83	0.05599304831
84	0.05515673772
85	0.05431297952
86	0.0535588764
87	0.05291394427
88	0.05202415548
89	0.05146973929
90	0.05089551237
91	0.050207483
92	0.04966177994
93	0.04890569585
94	0.04828500882
95	0.04749552743
96	0.04706003282
97	0.04632859663
98	0.04587009593
99	0.04533298515
100	0.04472258582
101	0.04410723059
102	0.04350399944
103	0.04298041946
104	0.04244802771
105	0.04196021417
106	0.04138430642
107	0.04082416497
108	0.04040303282
109	0.0400197181
110	0.03954272205
111	0.03886801483
112	0.03843757532
113	0.03796814499
114	0.03755335957
115	0.03705193024
116	0.03652140025
117	0.03620214927
118	0.03590344142
119	0.03553734707
120	0.03521101288
121	0.03494367728
122	0.03458179274
123	0.03424944008
124	0.03399566079
125	0.03361618752
126	0.03327807235
127	0.03297222464
128	0.03268004835
129	0.03240547564
130	0.03212987323
131	0.03180327499
132	0.03152455262
133	0.03117520533
134	0.03094618049
135	0.03063623569
136	0.03038128596
137	0.0300980058
138	0.02986032852
139	0.02960651351
140	0.02935719139
141	0.02913742603
142	0.02891479137
143	0.02866826232
144	0.02844502423
145	0.02819675731
146	0.02794053608
147	0.02776511118
148	0.02760990122
149	0.02742133218
150	0.02719937629
151	0.02700691647
152	0.0268075268
153	0.02662451938
154	0.02645766391
155	0.02624869935
156	0.02607417313
157	0.0258761582
158	0.02571638984
159	0.02552255996
160	0.02526634986
161	0.02507657857
162	0.02489356455
163	0.02470783911
164	0.02452576811
165	0.02437160434
166	0.02422858547
167	0.02405993321
168	0.02390335458
169	0.02375409159
170	0.02360693341
171	0.02343125477
172	0.02323346391
173	0.02311614881
174	0.02298216125
175	0.02284647615
176	0.02271257166
177	0.0225977099
178	0.02244811936
179	0.02232277633
180	0.02217578551
181	0.02201259414
182	0.02188416371
183	0.02177824486
184	0.02166516686
185	0.02149344954
186	0.02138770118
187	0.02126180178
188	0.02111117094
189	0.02098936969
190	0.02086515574
191	0.02073330976
192	0.02058735649
193	0.02046633664
194	0.02034114675
195	0.02023375229
196	0.02010934042
197	0.01999586855
198	0.0198493088
199	0.01972771855
200	0.01960655721
201	0.01950883687
202	0.01939854218
203	0.01928543981
204	0.01919609137
205	0.01905415438
206	0.01893891998
207	0.01880938759
208	0.01865788761
209	0.01857204503
210	0.01845881937
211	0.01836869773
212	0.01827055653
213	0.01815524425
214	0.0180429178
215	0.01795692941
216	0.01787399293
217	0.01778026385
218	0.01768969953
219	0.01759511292
220	0.01750925344
221	0.01742437771
